term,weight
pain,4.663561646129646
tear,5.836769625888519
wanted,4.721679428745675
trust,5.741266704468668
mood,6.640994587251469
mean,4.7841896339182615
wrong,5.0405174511856385
break,4.8221036686509615
love,5.0943445622220995
wish,5.836769625888519
alone,4.465735902799727
feel,5.882801922586371
happy,4.850147601710058
afraid,5.526973204296921
scared,5.526973204296921
hard,4.178053830347945
friend,4.555348061489413
cry,5.343805421853683
life,5.477336814478207
keep,5.0405174511856385
better,4.433987204485146
hate,4.688879454113937
emotion,6.380454399371695
hurt,7.106675232304586
feeling,5.418840607796597
worst,5.6384104096887695
always,5.51085950651685
care,6.006999524961997
sad,6.89470401288504
reason,5.352473219005692
stupid,3.0116845406028387
kill,2.7541432591544748
girl,3.0116845406028387
face,3.0116845406028387
deserve,2.7541432591544748
scar,4.986441928388727
fucking,3.0116845406028387
broken,3.4000242012422097
dead,3.7217023602638544
worthless,3.7311090219476686
hurting,3.4874413231549912
stop,2.3862943611198912
best,2.7541432591544748
alive,3.222111089323745
dying,4.115588124753127
leave,3.811680830266447
bad,3.079441541679836
depressed,3.4000242012422097
anxiety,3.19722457733622
nightmare,5.157211294220701
die,3.7080502011022096
sick,4.273001881852848
therapy,6.100858376034576
med,7.202589129786291
hope,3.4000242012422097
fear,3.7311090219476686
thinking,3.0116845406028387
sex,4.594487978305861
hell,3.222111089323745
great,4.35407214432629
regret,3.7217023602638544
society,4.408196467550823
nice,3.1892161620424893
emotional,4.820409072452764
paranoid,4.820409072452764
sense,3.1277471639690138
church,3.8142592685777856
baby,4.408196467550823
boy,4.72767604914083
annoying,2.262844199331851
mad,2.6406590740996387
mom,2.8047370592370315
depression,2.3862943611198912
